Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough|307|5.88|13.2|41.2|1060.0|0
Pillsbury, Cinnamon Rolls with Icing, refrigerated dough|330|4.34|11.3|53.4|780|0
Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry|377|6.1|3.7|79.8|2180.0|0
George Weston Bakeries, Thomas English Muffins|232|8.0|1.8|46.0|345|0
Waffles, buttermilk, frozen, ready-to-heat|273|6.58|9.22|41.0|621|126
Waffle, buttermilk, frozen, ready-to-heat, toasted|309|7.42|9.49|48.4|710|138
Waffle, buttermilk, frozen, ready-to-heat, microwaved|289|6.92|9.4|44.2|663|110
Waffle, plain, frozen, ready-to-heat, microwave|298|6.71|9.91|45.4|682|148
Pie Crust, Cookie-type, Graham Cracker, Ready Crust|501|5.1|24.8|64.3|471|113
Pie Crust, Cookie-type, Chocolate, Ready Crust|484|6.08|22.4|64.5|503|187
Pie, Dutch Apple, Commercially Prepared|290|2.17|11.5|44.5|200|76.0
Pie crust, deep dish, frozen, unbaked, made with enriched flour|468|5.52|28.7|46.8|353|91.0
Waffles, chocolate chip, frozen, ready-to-heat|297|5.8|10.1|45.7|529|74.0
Tostada shells, corn|474|6.15|23.4|64.4|657|237
Bread, salvadoran sweet cheese (quesadilla salvadorena)|374|7.12|17.1|47.8|510|350
Bread, pound cake type, pan de torta salvadoran|390|7.06|17.4|51.3|390|210
Pastry, Pastelitos de Guava (guava pastries)|379|5.48|18.5|47.8|231|103
Crackers, snack, Goya Crackers|433|14.2|13.4|64.4|665|124
Crackers, cream, Gamesa Sabrosas|484|7.01|20.4|64.6|1150.0|129
Crackers, cream, La Moderna Rikis Cream Crackers|464|7.19|19.5|64.9|752|117
Bread, white wheat|238|10.7|2.15|43.9|478|127
Bagels, wheat|250|10.2|1.53|48.9|439|165
Cream puff, eclair, custard or cream filled, iced|334|4.41|18.5|37.4|265|68.0
Tortillas, ready-to-bake or -fry, flour, shelf stable|297|8.01|7.58|49.3|742|133
Snacks, beef jerky, chopped and formed|410|33.2|25.6|11.0|1780.0|597
Snacks, corn-based, extruded, chips, plain|539|6.17|33.4|57.3|514|144
Snacks, corn-based, extruded, chips, barbecue-flavor|523|7.0|32.7|56.2|763|236
Snacks, corn-based, extruded, cones, plain|510|5.8|26.9|62.9|1020.0|81.0
Snacks, fruit leather, pieces|359|1.0|2.68|82.8|199|164
Snacks, fruit leather, rolls|371|0.1|3.0|85.8|317|294
Snacks, granola bars, hard, plain|471|10.1|19.8|64.4|294|336
Snacks, granola bars, hard, almond|495|7.7|25.5|62.0|256|273
Snacks, granola bars, soft, uncoated, raisin|448|7.6|17.8|66.4|282|362
Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip|466|5.8|24.9|63.8|200|313
Candies, honey-combed, with peanut butter|473|8.72|20.2|67.4|174|220
Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter|508|10.2|31.1|53.4|193|339
Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip|432|9.8|20.0|62.2|328|377
Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat|583|7.29|43.6|45.1|909|182
Snacks, popcorn, cakes|384|9.7|3.1|80.1|288|327
Snacks, popcorn, caramel-coated, with peanuts|400|6.4|7.8|80.7|177|355
Snacks, popcorn, caramel-coated, without peanuts|431|3.8|12.8|79.1|206|109
Snacks, potato chips, made from dried potatoes, reduced fat|502|4.56|26.1|64.8|450|760
Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor|547|6.6|37.0|51.3|541|496
